precision,recall,f1-score,support,class_code
0.5675675675675675,0.84,0.6774193548387096,50.0,A-1
0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0,A-11
0.9090909090909091,1.0,0.9523809523809523,10.0,A-11a
0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0,A-12a
1.0,0.5454545454545454,0.7058823529411765,11.0,A-14
1.0,0.6,0.75,5.0,A-15
0.8771929824561403,0.8928571428571429,0.8849557522123894,56.0,A-16
0.9038461538461539,0.9215686274509803,0.912621359223301,51.0,A-17
0.9724770642201835,0.954954954954955,0.9636363636363636,111.0,A-18b
0.7096774193548387,0.44,0.5432098765432098,50.0,A-2
0.7272727272727273,0.8,0.7619047619047619,10.0,A-20
0.75,1.0,0.8571428571428571,6.0,A-21
1.0,0.6666666666666666,0.8,6.0,A-24
0.984375,1.0,0.9921259842519685,63.0,A-29
0.30303030303030304,0.3125,0.3076923076923077,32.0,A-3
0.9621212121212122,0.9407407407407408,0.951310861423221,135.0,A-30
0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0,A-32
0.3333333333333333,0.40625,0.36619718309859156,32.0,A-4
0.9178082191780822,0.9054054054054054,0.9115646258503401,74.0,A-6a
0.5729166666666666,0.6395348837209303,0.6043956043956044,86.0,A-6b
0.6710526315789473,0.5930232558139535,0.6296296296296297,86.0,A-6c
0.8666666666666667,0.65,0.7428571428571429,60.0,A-6d
0.6883116883116883,0.8833333333333333,0.7737226277372263,60.0,A-6e
1.0,0.9743589743589743,0.987012987012987,156.0,A-7
1.0,0.8709677419354839,0.9310344827586207,31.0,A-8
1.0,1.0,1.0,8.0,B-1
0.5,0.8888888888888888,0.64,9.0,B-18
1.0,0.9583333333333334,0.9787234042553191,24.0,B-2
1.0,1.0,1.0,71.0,B-20
0.6170212765957447,0.8529411764705882,0.7160493827160493,34.0,B-21
0.7894736842105263,0.4411764705882353,0.5660377358490566,34.0,B-22
0.9753086419753086,0.9693251533742331,0.9723076923076923,163.0,B-25
1.0,0.9473684210526315,0.972972972972973,19.0,B-26
0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,B-27
0.9845679012345679,0.9465875370919882,0.9652042360060514,337.0,B-33
0.6538461538461539,1.0,0.7906976744186046,17.0,B-34
0.9862068965517241,0.9930555555555556,0.9896193771626297,144.0,B-36
1.0,1.0,1.0,5.0,B-41
0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0,B-42
1.0,0.9696969696969697,0.9846153846153847,33.0,B-43
1.0,1.0,1.0,21.0,B-44
1.0,0.9047619047619048,0.95,21.0,B-5
1.0,1.0,1.0,7.0,B-6-B-8-B-9
1.0,0.9090909090909091,0.9523809523809523,11.0,B-8
0.8947368421052632,1.0,0.9444444444444444,17.0,B-9
0.8421052631578947,0.6821705426356589,0.7537473233404711,258.0,C-10
0.9831932773109243,0.9915254237288136,0.9873417721518988,118.0,C-12
0.625,0.8333333333333334,0.7142857142857143,6.0,C-13
0.8571428571428571,1.0,0.9230769230769231,18.0,C-13-C-16
1.0,0.8571428571428571,0.9230769230769231,7.0,C-13a
0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,C-13a-C-16a
0.5833333333333334,1.0,0.7368421052631579,14.0,C-16
0.5384615384615384,0.7,0.6086956521739131,10.0,C-2
0.2857142857142857,0.6,0.3870967741935484,10.0,C-4
0.875,0.875,0.875,32.0,C-5
1.0,1.0,1.0,8.0,C-6
0.8888888888888888,1.0,0.9411764705882353,8.0,C-7
0.7689530685920578,0.8192307692307692,0.7932960893854749,260.0,C-9
0.9834254143646409,0.9834254143646409,0.9834254143646409,181.0,D-1
0.868421052631579,1.0,0.9295774647887324,33.0,D-14
1.0,0.9719626168224299,0.985781990521327,107.0,D-15
0.9661016949152542,0.95,0.957983193277311,60.0,D-18
1.0,0.8333333333333334,0.9090909090909091,6.0,D-18b
0.9636363636363636,1.0,0.9814814814814815,53.0,D-2
1.0,0.7142857142857143,0.8333333333333334,7.0,D-21
0.9111111111111111,0.9761904761904762,0.9425287356321839,42.0,D-23
0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,D-23a
0.8181818181818182,1.0,0.9,9.0,D-24
1.0,1.0,1.0,7.0,D-26
0.8888888888888888,1.0,0.9411764705882353,8.0,D-26b
0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0,D-26c
0.625,0.9090909090909091,0.7407407407407407,11.0,D-27
1.0,0.9411764705882353,0.9696969696969697,34.0,D-28
0.9565217391304348,0.88,0.9166666666666666,25.0,D-29
0.9285714285714286,0.8297872340425532,0.8764044943820225,47.0,D-3
1.0,1.0,1.0,11.0,D-40
1.0,0.8461538461538461,0.9166666666666666,13.0,D-41
0.9245283018867925,1.0,0.9607843137254902,49.0,D-42
0.9743589743589743,0.926829268292683,0.95,41.0,D-43
0.96,0.9230769230769231,0.9411764705882353,26.0,D-4a
0.875,0.7777777777777778,0.8235294117647058,9.0,D-4b
1.0,0.9375,0.967741935483871,16.0,D-51
1.0,1.0,1.0,8.0,D-52
1.0,1.0,1.0,8.0,D-53
0.9928057553956835,0.9787234042553191,0.9857142857142858,282.0,D-6
0.8857142857142857,0.96875,0.9253731343283582,32.0,D-6b
1.0,1.0,1.0,28.0,D-7
0.9166666666666666,1.0,0.9565217391304348,33.0,D-8
0.8888888888888888,1.0,0.9411764705882353,8.0,D-9
0.9375,1.0,0.967741935483871,15.0,D-tablica
1.0,1.0,1.0,11.0,G-1a
1.0,1.0,1.0,5.0,G-3
