method,mean_dark_macro_f1,mean_dark_accuracy,dark3_macro_f1
gamma,0.8110908700531466,0.8459394904458599,0.795795267279455
original,0.7900360042999326,0.825371549893843,0.7557630267288665
clahe,0.7458861337638093,0.7701698513800425,0.6889712276348454
