experiment,standard_macro_f1,mean_dark_macro_f1,mean_dark_accuracy,dark3_macro_f1,f1_drop_to_dark3
baseline,0.8439459956998292,0.6311972961320419,0.8000265392781317,0.4544470895243439,0.3894989061754853
sampler_lighting,0.8219269118880506,0.6529830852986254,0.6681263269639066,0.4890174095346314,0.33290950235341915
sampler_lighting_gamma,0.8614529800427804,0.7705377853938776,0.807988322717622,0.6587051839125211,0.20274779613025928
weighted_sampler,0.8300934411933206,0.5961814729308327,0.6588375796178344,0.4143569741081788,0.41573646708514184
