experiment,accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,inference_time_seconds,parameters,best_epoch,best_val_macro_f1
sampler_lighting_gamma,0.8897292993630573,0.8738101627095985,0.8856883676823913,0.8614529800427804,16166.307190799998,49.61417090000032,413020,20,0.8614529800427804
baseline,0.9402866242038217,0.8890668617840515,0.8304640051705114,0.8439459956998292,16296.7361546,48.181454100002156,413020,18,0.8439459956998292
weighted_sampler,0.8718152866242038,0.8297976296032621,0.8785828087096853,0.8300934411933206,15539.103524299997,48.206727099997806,413020,19,0.8300934411933206
sampler_lighting,0.8594745222929936,0.8150595305661,0.8736079575470448,0.8219269118880506,15524.865617199997,48.16305260000081,413020,17,0.8219269118880506
