group,samples,mean_brightness,median_brightness
bright_3 poprawne,3067,109.56783284105538,107.39745330810548
bright_3 błędne,1231,122.74912252898724,123.1899185180664
nowe błędy po bright_3,578,136.82024955749512,138.35828399658203
