group,samples,mean_brightness,median_brightness
bright_3 poprawne,3703,112.85962112600855,111.03411865234376
bright_3 błędne,595,116.35216155813522,114.9419937133789
nowe błędy po bright_3,321,131.186825083795,133.73089599609375
