analysis_split,brightness_group,count,percentage
test,bright,509,11.842717543043277
test,dark,505,11.749651000465333
test,normal,3284,76.40763145649139
train,bright,1663,9.930729726501852
train,dark,1667,9.95461602770811
train,normal,13416,80.11465424579004
validation,bright,239,9.514331210191083
validation,dark,241,9.593949044585987
validation,normal,2032,80.89171974522293
