train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
3.343517580750687,0.12528105677346824,2.9964247326942006,0.17555732484076433,0.11411829514624221
2.805816711234939,0.21388420460933108,2.7957562397999367,0.19148089171974522,0.13544824023279856
2.4901660572886133,0.2977796514896009,2.4430172443389893,0.2663216560509554,0.28062351225570187
2.1178006721119185,0.4026840921866217,2.089216629411005,0.35589171974522293,0.32814932417737647
1.7793989068943172,0.49318437324339515,1.7171169853514168,0.482484076433121,0.45396382366877147
1.4902106776808406,0.5693507588532883,1.3069864405188591,0.6377388535031847,0.5536222203941572
1.334308032710744,0.6103147835862844,1.2276216191091356,0.6246019108280255,0.555671162287921
1.1631883700420644,0.657813378302417,1.088203422582833,0.7062101910828026,0.6157066980910644
1.0504235545526133,0.6935778527262507,1.0272347114648028,0.6934713375796179,0.670946260765086
0.945224882378345,0.7190134907251264,0.9712219021882221,0.6934713375796179,0.6328811294723566
0.8677949717434824,0.7443086003372681,0.821686966404034,0.7579617834394905,0.7110851887301515
0.7984833906982105,0.7614530635188308,0.6800906783456255,0.7906050955414012,0.7452069457343968
0.731145616560052,0.7812675660483418,0.6556977530953231,0.8097133757961783,0.7795358678943157
0.6647898756834548,0.806070826306914,0.5956359150683045,0.8164808917197452,0.7920538602944436
0.6188956928628425,0.815415964024733,0.6244882246491256,0.7993630573248408,0.7840327457825786
0.5905359166100026,0.8223018549747049,0.4995178249990864,0.8499203821656051,0.8189253691621299
0.5452489837158122,0.8405705452501405,0.47108137645539205,0.8726114649681529,0.8292017918568316
0.49396672926972995,0.8556773468240585,0.42113111599995073,0.8857484076433121,0.8546690833205577
0.4731918450920283,0.8615795390668916,0.4444394272983454,0.8682324840764332,0.8313396800754085
0.47545053943480714,0.8585581787521079,0.3787264603718071,0.8937101910828026,0.8478722361285532
