train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
3.437995344685195,0.08719786396852164,3.097642032963455,0.1301751592356688,0.07023164865986217
2.9723343038371333,0.14994378864530636,2.759896211563402,0.2034235668789809,0.12553666087544532
2.737693328278463,0.19659921304103428,2.7224190493298184,0.2089968152866242,0.14825857359507777
2.525766293073786,0.2487352445193929,2.4062276387670236,0.24721337579617833,0.20909468551539045
2.284465873422349,0.30986509274873525,2.2306829106276203,0.28304140127388533,0.23870869890640822
2.0828818460071,0.3643198426082069,2.03978199412109,0.3355891719745223,0.29459695858437707
1.8808945163439472,0.42179595278246207,1.7698273635973596,0.45063694267515925,0.39840649184659016
1.6770514300058503,0.4776559865092749,1.7167189523672601,0.4394904458598726,0.39633807423091516
1.539861152519196,0.5197442383361439,1.516079962633218,0.5493630573248408,0.46580889839964673
1.3820525172588998,0.56668071950534,1.441701799441295,0.5222929936305732,0.5034576093532249
1.280370688492023,0.6010399100618324,1.204910786288559,0.60828025477707,0.5555234727419353
1.1584957608887156,0.6352585722315908,1.1390359750978507,0.6289808917197452,0.5866552910423286
1.0995888470129191,0.6550730747611018,0.9762696563058598,0.6878980891719745,0.627164777812243
1.015396507018198,0.6800871275997752,1.0105912867625049,0.6839171974522293,0.6327644475620492
0.9593299215867855,0.6905564924114671,0.955361914862493,0.6795382165605095,0.6307813936750069
0.8998594202976538,0.7170460933108488,0.8718115911362277,0.7097929936305732,0.6491006323329345
0.8499932857361183,0.7294828555368185,0.7987964931567004,0.7488057324840764,0.6822136529839757
0.7962387084893928,0.7483136593591906,0.6267976821607845,0.8113057324840764,0.7564825648257313
0.7520194746859628,0.7573777403035413,0.7947614747247879,0.7535828025477707,0.7021924064774269
0.724509915654213,0.7693929173693086,0.7025167224513498,0.7663216560509554,0.7333534093535807
