class_code,images,mean_brightness,median_brightness,brightness_std,dark_ratio,bright_ratio
C-13a,34,73.99706790026497,57.30615307303036,43.279634700101965,0.05787961580532022,0.011973671951099142
C-13,26,77.50094010279729,59.9068540426401,53.72763835466825,0.12375522401696558,0.03776340338003677
D-40,50,79.79398803710937,54.572940292358396,50.691786727905274,0.05589935558420375,0.009523755508167862
D-7,125,80.29531359863282,52.433104965209964,53.26779615783691,0.05633871818075533,0.011159956374246783
D-8,160,81.0051234960556,59.580225771665575,49.5818410217762,0.08430057662743679,0.0076379038456474615
D-21,31,81.57421555057648,60.753905880835745,46.14542419679703,0.030882526291059625,0.010183881548454824
D-3,226,85.02001335768573,62.39292495018613,49.99332888780442,0.07630572391403201,0.013111319316282358
C-13a-C-16a,25,85.51119903564454,63.553452224731444,56.326072158813474,0.0898464568732055,0.020500393435328036
C-13-C-16,84,87.50454666501,68.67792171523685,54.48633691242763,0.10770981123331651,0.021414872978721272
B-36,683,88.29401400218421,72.1961896751147,47.20623908035926,0.04457139986410598,0.021504232741506982
D-26,33,89.36184657703747,92.7302755876021,51.35657489661014,0.10011174181143112,0.005291561276310525
D-18,295,90.53473067849369,69.21770505581873,51.67664077564822,0.0712076328883208,0.02327590315252647
D-51,79,92.07356528994403,72.42788719829124,52.715158728104605,0.07057579062514527,0.014063889800875943
D-14,161,92.32577751586156,65.83117385236373,56.48133308102626,0.05286176038909458,0.015528551695266438
D-9,34,92.95212229560403,78.97087074728573,57.61336887584013,0.05204793690741464,0.024884545635588316
D-23,205,94.60619940408846,80.88438275965248,53.490538899491476,0.08599712426225296,0.023036586546677278
D-4b,44,94.99340802972966,72.36416673660278,58.945016080682926,0.052448865224210175,0.018065721698643598
C-6,36,95.91142633226183,97.18615606096056,44.49981111950345,0.03175421385273116,0.01565007569206746
B-2,117,95.92675763317662,80.4902766871656,57.71328640799237,0.06628067149116668,0.034289787765485025
D-23a,73,96.30268548939326,97.8542478378505,52.961238364650775,0.0975195362454731,0.027389200035078966
C-4,49,97.0232125107123,81.63914119954012,47.00048857319112,0.08945756529463514,0.05289677476876653
C-16,67,97.29654733458561,70.35810937454451,61.56070602473928,0.04495278510475725,0.027160233678529183
C-2,49,97.88042664041325,81.6165265453105,49.17174923176668,0.08195895562450226,0.0164374505366272
D-29,117,98.12119381244366,102.05070582006732,53.14898225181123,0.06722654909095235,0.01630775987275668
C-5,152,98.79485495466935,79.21853322731822,56.69977661810423,0.0563242313735052,0.025298092585477012
C-10,1287,99.25820570355158,81.52082998621066,53.991137885454556,0.06619814352544069,0.05861494725703426
G-1a,52,99.81990040265597,92.0489537532513,46.9836441553556,0.052644913267136384,0.006226550662064548
D-26b,33,100.0735881689823,112.97992613821319,54.72006797790527,0.09496634110755212,0.01872123623978694
D-24,40,100.30119256973266,114.98596839904785,47.58093104362488,0.05108924109310129,0.017119912332821376
D-15,529,100.32713702405559,91.81376240699639,58.48627045925263,0.0797318334014305,0.027729277711886494
D-27,51,101.24070687387504,93.19986631356034,58.40732724058862,0.1021976551398292,0.040855443118570756
D-28,161,101.43119732637584,105.97860281215691,51.375078799561685,0.06998653298449517,0.02717029887488442
C-9,1299,102.21170874280688,82.14930178001352,57.67377778435781,0.0492166976431371,0.024632936491562025
D-6,1407,103.41678556213162,85.98219169041919,59.655861381444005,0.06881757109690038,0.04156161779328603
D-41,61,104.23920834650758,76.79855080901599,67.03806489412902,0.04446701477878844,0.029750440707717242
C-7,36,104.43741035461426,105.51769235399034,48.7481410768297,0.010998761493642692,0.0005239454767831068
B-20,353,104.81144036787427,71.62813299033189,64.83229830582486,0.030054216701786055,0.027865624772285894
D-26c,88,104.83563865314831,117.17921330712058,50.38056445121765,0.05724023603630937,0.0403301954912181
A-15,20,106.59181203842164,98.9963953256607,55.02758073806763,0.10949368741489043,0.043461937676112214
B-8,52,107.37178303645207,105.7645245698782,59.07048203394963,0.10054440060728087,0.03961937665398872
A-11,50,107.4446508026123,106.94490928649903,48.111903247833254,0.04615577149317875,0.0068371224087148295
A-14,54,109.04072846306696,98.0743118568703,58.474093967013886,0.0577974377224772,0.02393779123495138
D-43,200,109.25644428253173,118.80899941444397,55.81255457401276,0.09187827566809174,0.02945132347823963
C-12,588,110.84550155263369,101.71035755572676,62.80598086078151,0.04679949485714461,0.03909676957290006
A-12a,102,112.49301593443927,106.62668114082486,54.893144140056535,0.06671189473552173,0.030073750804311895
A-11a,45,112.75461154513889,109.94729563395182,46.472131644354924,0.045052615624789454,0.0455977720466806
D-4a,125,113.24437210083008,80.0016222229004,61.75800817871094,0.013047430113216886,0.06935038642410057
A-21,27,113.2668729711462,92.20076666937933,61.02641706113462,0.032664518740832725,0.07594333028921385
D-6b,155,114.18535588172175,96.82593931997975,61.307158008698494,0.028655345996403254,0.043016651856362005
A-4,156,115.08954970041911,110.25923222761888,48.79034881102733,0.0585826080971481,0.041244643409869594
A-6c,419,115.24964422485425,114.56240459387513,52.54351320243963,0.06755583200147706,0.0480457627605277
A-3,156,115.2589257252522,110.84286328462454,48.73329704235761,0.06979422836799704,0.028925248326068662
B-33,1707,116.06946213090357,116.48894551321297,61.2730533267995,0.07305913741062328,0.034864766859975346
D-tablica,64,116.5543963611126,118.30799871683121,57.52089175581932,0.0605494333667002,0.07099073307777322
A-6b,419,116.5926749381928,115.975799501369,53.093990760657555,0.06326253133364719,0.03976924767999423
A-6a,369,116.93826405594989,114.25339875053261,59.570360672183156,0.06982516981675001,0.03426844394727259
D-18b,25,117.57581970214844,99.67264831542968,61.99639999389648,0.010448979254595002,0.02815852610000161
